"","player_name","overall_rating","player_api_id","sum_gk","Number_of_appearances","leagues_played"
"8611","Thomas Bruns",70,243439,60,108,1
"8612","Dammyano Grootfaam",59,243440,44,2,1
"8613","Mark Janssen",59,243456,35,1,1
"8614","Stefano Marzo",68,243465,52,77,2
"8615","Imad Najah",65,243466,49,16,1
"8616","Peter van Ooijen",68,243473,53,17,1
"8617","Dries Wuytens",69,243481,59,80,2
"8618","Benjamin van Leer",69,243482,344,34,1
"8619","Collin van Eijk",57,243486,291,1,1
"8620","Thijs Bouma",64,243489,57,4,1
"8621","Filip Bednarek",62,243490,315,5,1
"8622","Ninos Gouriye",68,243492,64,42,1
"8623","Stefan Thesker",69,243493,56,11,2
"8624","Nils Roeseler",64,243496,40,29,1
"8625","Ludcinio Marengo",64,243500,45,3,1
"8626","Kai Heerings",67,243501,63,40,1
"8627","Stefano Lilipaly",65,243507,62,2,1
"8628","Anouar Kali",71,243509,48,83,1
"8629","Enzio Boldewijn",62,243516,52,2,1
"8630","Patrick J. ter Mate",60,243548,300,1,1
"8631","Cristian Battocchio",68,243608,57,1,1
"8632","Pedro Ramirez",65,243649,55,3,1
"8633","Hernan",71,243781,62,11,1
"8634","Victor Garcia",67,243789,52,1,1
"8635","Pelle Jensen",62,243827,61,2,1
"8636","Tom Trybull",69,243828,58,18,1
"8637","Andre Hahn",77,243829,67,64,1
"8638","Lars Veldwijk",72,243937,142,35,1
"8639","Simon Murray",60,244035,57,9,1
"8640","Matan Ohayon",63,244065,49,25,1
"8641","Akoete Eninful",59,244128,56,3,1
"8642","Fede Vico",70,244136,60,11,2
"8643","Zezinho",69,244155,51,2,1
"8644","Mathias Gehrt",68,244278,59,29,1
"8645","Diego Rubio",71,244377,54,2,1
"8646","Stefano Magnasco",68,244398,68,25,1
"8647","Mustafa Saymak",72,244458,48,55,1
"8648","Fraser Kerr",62,244525,41,35,1
"8649","Jerome Roussillon",73,244558,52,60,1
"8650","Jota",70,244563,55,8,1
"8651","Esmael Goncalves",69,244774,47,30,3
"8652","Mattia Valoti",71,244809,51,1,1
"8653","Davide Zappacosta",76,244811,45,40,1
"8654","Federico Ceccherini",70,244816,51,32,1
"8655","Giuseppe De Luca",72,244835,42,13,1
"8656","Amidu Salifu",72,244840,44,9,1
"8657","Darwin Andrade",70,244904,36,23,1
"8658","Paul McCallum",62,244911,58,4,1
"8659","Ziggy Gordon",64,244953,51,64,1
"8660","Lewis Toshney",59,244959,52,39,1
"8661","Rodrigo Ely",70,244963,52,2,1
"8662","Stefano Sturaro",77,244966,55,45,1
"8663","Filippo Falco",65,244970,50,1,1
"8664","Jason Naismith",62,245022,34,64,1
"8665","Sava Miladinovic Bento",63,245156,45,6,1
"8666","Sekou Junior Sanogo",69,245161,54,96,1
"8667","Gaetan Courtet",69,245287,62,36,1
"8668","Jeffrey Gouweleeuw",75,245315,56,156,2
"8669","Rafael Crivellaro",68,245412,20,26,2
"8670","Ryo Miyaichi",71,245422,68,26,2
"8671","Andre Micael",67,245423,51,97,2
"8672","Stefanos Kapinos",73,245433,361,1,1
"8673","Julio Regufe Alves",64,245438,45,6,1
"8674","Jeong-Ho Hong",73,245526,50,35,1
"8675","Suk-Young Yun",73,245530,123,19,1
"8676","Geronimo Rulli",79,245555,390,58,1
"8677","Juan Manuel Iturbe",77,245572,47,49,1
"8678","Davy Roef",69,245599,347,1,1
"8679","Abdelfettah Boukhriss",64,245653,51,1,1
"8680","Pablo Hernandez",77,246177,55,43,1
"8681","Juan Calahorro",64,246187,40,4,1
"8682","Sergio Alvarez",76,246201,384,73,1
"8683","David Junca",70,246218,52,25,1
"8684","Rory McKenzie",64,246316,60,82,1
"8685","Liam Polworth",60,246317,50,41,1
"8686","Benjamin Morel",62,246330,56,2,1
"8687","Willy Boly",74,246331,49,61,2
"8688","Ziri Hammar",65,246332,60,4,1
"8689","Andre Carrillo",80,246414,57,73,1
"8690","Juan Carlos",70,246422,351,51,1
"8691","Gerard Moreno",75,246438,56,38,1
"8692","Jason Adesanya",62,246552,52,7,1
"8693","Benedikt Roecker",69,246571,56,1,1
"8694","Raheem Sterling",82,246575,63,100,1
"8695","Imanol Iriberri",64,247169,54,10,1
"8696","Lion Kaak",64,248123,45,14,1
"8697","Leon van Dijk",59,248150,57,2,1
"8698","Joey Pelupessy",68,248151,59,46,1
"8699","Mark Engberink",58,248152,50,3,1
"8700","Cas Peters",68,248154,53,28,1
"8701","Chaker Alhadhur",67,248169,58,34,1
"8702","Alexander Schwolow",69,248437,343,1,1
"8703","Paul Pogba",86,248453,50,108,1
"8704","Ryan Tunnicliffe",67,248454,53,2,1
"8705","Mateusz Szczepaniak",64,248457,61,27,1
"8706","Michy Batshuayi",79,248689,57,67,2
"8707","Mario Bilate",63,248714,71,7,1
"8708","Wojciech Pawlowski",65,249057,321,18,1
"8709","Lukasz Zejdler",58,249059,62,15,1
"8710","Dejan Meleg",66,249225,40,5,1
"8711","Uros Vitas",66,249237,67,6,1
"8712","Nika Dzalamidze",68,249550,124,68,1
"8713","Dan Nistor",70,249761,49,1,1
"8714","Denis Prychynenko",64,251131,43,1,1
"8715","Lloyd Palun",70,251243,69,42,1
"8716","Andre Ramalho Silva",71,251244,61,11,1
"8717","Javier Espinosa Gonzalez",72,251256,57,11,1
"8718","Federico Viviani",73,251384,53,19,1
"8719","Gerard Deulofeu",80,251925,64,35,2
"8720","Bruno Lopes",68,252283,50,13,1
"8721","Gianluca Caprari",73,252650,48,14,1
"8722","Michal Szromnik",50,252672,259,11,1
"8723","Vladimir Boljevic",61,252677,51,38,1
"8724","Lucas Andersen",74,252969,51,50,1
"8725","Jakub Bak",62,252972,50,20,1
"8726","Nikola Maksimovic",80,253088,52,63,1
"8727","Kane Hemmings",65,253103,56,34,1
"8728","Virgil Misidjan",68,253120,39,28,1
"8729","Paul Gladon",66,253121,66,3,1
"8730","Ferhan Hasani",69,253410,46,1,1
"8731","Jamie Reckord",62,253631,48,40,1
"8732","Jake Carroll",63,253748,55,8,1
"8733","Stole Dimitrievski",63,254241,317,1,1
"8734","Mateusz Zachara",67,254289,60,47,1
"8735","Florian Thauvin",77,254308,52,96,2
"8736","Alpaslan Ozturk",72,254455,49,35,1
"8737","Danny Ward",65,254472,321,23,2
"8738","Niels Vandenbroucke",59,254608,47,2,1
"8739","Thievy Bifouma",73,254702,57,47,3
"8740","Armando Sadiku",64,254704,51,28,1
"8741","Perry Kitchen",70,254975,64,9,1
"8742","Simon Thern",73,255221,51,23,1
"8743","Antonio Signori Dominique",54,255251,261,11,1
"8744","Plamen Krachunov",55,255538,38,1,1
"8745","Nikola Lekovic",66,255960,51,22,1
"8746","Ole Kristian Selnaes",72,255963,55,2,1
"8747","Arne Naudts",61,256197,64,1,1
"8748","Loris Brogno",60,256198,56,2,1
"8749","Niels Mestdagh",57,256202,44,2,1
"8750","Alhassane Bangoura",77,256727,39,76,2
"8751","Agustin Vuletich",65,256728,56,2,1
"8752","Daniel Kaufmann",57,256968,59,21,1
"8753","Gevaro Nepomuceno",66,257540,41,3,1
"8754","Gary Fisher",62,257695,106,4,1
"8755","Gabriel",56,257757,105,15,1
"8756","Ruben Ligeon",69,257828,46,28,1
"8757","Erdin Demir",66,257843,51,30,1
"8758","Mario Buehler",58,257845,56,29,1
"8759","Jores Okore",77,257847,70,36,1
"8760","Alvaro Gonzalez Soberon",76,257855,53,140,1
"8761","William Carvalho",81,257865,45,105,2
"8762","Dziugas Bartkus",59,258206,309,7,1
"8763","Branimir Hrgota",70,258245,48,13,1
"8764","Victor Nilsson Lindeloef",72,258269,52,14,1
"8765","Issa Cissokho",77,258873,53,73,2
"8766","Robin Knoche",77,259296,59,72,1
"8767","Emil Krafth",69,259306,57,2,1
"8768","Mike van Duinen",70,259375,48,112,1
"8769","Filip Mladenovic",70,259439,61,10,1
"8770","Nicolas Castillo",73,259507,55,13,2
"8771","Stephen Kingsley",61,259810,51,4,1
"8772","Jorge Rojas",71,260182,63,4,1
"8773","Leonardo Bittencourt",76,260470,62,64,1
"8774","Daniel Devine",62,260486,39,59,1
"8775","Kossi Prince Segbefia",66,260564,58,13,1
"8776","Ximo Navarro",75,260659,114,41,1
"8777","Hekuran Kryeziu",63,260708,57,58,1
"8778","Berat Djimsiti",62,260964,49,104,2
"8779","Charlie I'Anson",62,260969,57,2,1
"8780","Jordan Veretout",76,261313,47,80,2
"8781","Alim Oezturk",65,261332,47,24,1
"8782","Matheus",77,261348,380,26,1
"8783","Muamer Tankovic",67,261597,49,24,2
"8784","Adnane Tighadouini",74,261599,48,38,2
"8785","Dimitri Foulquier",71,261609,48,54,2
"8786","Vladlen Yurchenko",64,261653,48,3,1
"8787","Jere Uronen",68,261654,43,1,1
"8788","Iago Herrerin",74,261787,364,10,1
"8789","Miles Storey",60,262542,50,29,1
"8790","Moi Gomez",77,262592,49,41,1
"8791","Alex Schalk",67,262753,50,57,2
"8792","Stephen Hendrie",62,262930,47,26,1
"8793","Henrique Miranda",59,263144,45,1,1
"8794","Mauro",74,263260,53,54,1
"8795","Adryan",73,263276,43,21,2
"8796","Maxime Dupe",69,263511,344,17,1
"8797","John Stones",77,263653,51,69,1
"8798","Julian Dudda",58,263661,53,1,1
"8799","Jamie Masson",60,263673,39,4,1
"8800","Declan McDaid",60,263676,50,6,1
"8801","Gaetan Karlen",62,263693,64,10,1
"8802","Piotr Mrozinski",60,263712,48,21,1
"8803","Arlind Ajeti",68,263796,52,34,2
"8804","Guti",68,263952,58,5,1
"8805","Ismael Diomande",71,264085,58,27,1
"8806","Washington",67,264089,68,30,1
"8807","Thorgan Hazard",78,264190,37,49,2
"8808","Mathieu Salamand",55,264201,54,18,1
"8809","Jordan Forster",61,264216,58,29,1
"8810","Kevin Wimmer",78,264221,61,41,2
"8811","Alex Martinez",72,264293,67,12,1
"8812","Tomasz Ptak",51,264578,255,13,1
"8813","Louis Laing",64,264686,57,24,1
"8814","Julian Wiessmeier",64,264702,49,2,1
"8815","Kwame Franck Elie Mawuena",54,264730,44,1,1
"8816","Carlos Daniel",60,264738,64,2,1
"8817","Andre Dias",61,264739,48,4,1
"8818","Alvarinho",66,264743,51,21,1
"8819","Jason Holt",60,264837,53,35,1
"8820","David Smith",53,264839,44,19,1
"8821","Sammy Ameobi",69,264840,46,21,1
"8822","Alessandro Florenzi",79,264842,48,103,1
"8823","Mike van der Hoorn",74,264860,58,62,1
"8824","Ivan Balliu",67,264885,52,58,1
"8825","Fernando Canesin Matos",72,265123,61,75,1
"8826","Gabriel",74,265273,361,7,1
"8827","Naldo",76,265275,38,60,3
"8828","Eber Bessa",66,265277,51,29,1
"8829","Chris Loewe",73,265363,54,6,1
"8830","Revson",65,265412,34,17,1
"8831","Boubacar Sylla",58,265591,58,5,1
"8832","Alex Goncalves",70,265618,50,14,1
"8833","Bruno Cortez",74,265688,49,6,1
"8834","Elvis",66,265703,25,17,1
"8835","Ante Rebic",69,265725,67,9,1
"8836","Alexandre Coeff",71,265727,109,32,3
"8837","Anderson Carvalho",66,265799,40,33,1
"8838","Nene Bonilha",69,265913,46,16,1
"8839","Andre Wisdom",71,265918,53,44,1
"8840","Gregoire Defrel",75,265924,59,55,1
"8841","Petar Brlek",59,265944,59,2,1
"8842","Clinton Mata",66,266105,47,16,1
"8843","Szymon Drewniak",62,266279,48,22,1
"8844","Christ Mbondi",57,266280,41,1,1
"8845","Pierre-Emil Hoejbjerg",74,266523,50,28,1
"8846","Viktor Fischer",77,266526,62,53,1
"8847","Prince Desir Gouano",70,266546,60,46,2
"8848","Dominik Masek",61,266841,53,1,1
"8849","Stephane Bahoken",62,266995,56,5,2
"8850","Matheus Carvalho",68,267008,55,4,1
"8851","Gaston Brugman",68,267260,54,10,1
"8852","Marquinhos",81,267365,47,80,2
"8853","Wallace",70,267369,59,14,2
"8854","Lucas Piazon",77,267380,49,39,3
"8855","Leo Bonatini",76,267383,60,44,1
"8856","Deyvison",67,267680,48,12,1
"8857","Ferreira",67,267720,44,35,1
"8858","Alan Henrique",71,267728,54,5,1
"8859","Guilherme",74,267863,50,36,1
"8860","Guido Marcelo Carrillo",72,267894,48,15,1
"8861","Bruno Peres",80,267911,47,58,1
"8862","Ancelmo Junior",66,267915,53,1,1
"8863","Wilson Kamavuaka",67,267992,56,1,1
"8864","Anderson Conceicao",72,268039,58,14,1
"8865","Javi Hervas",74,268207,67,1,1
"8866","Junior Lopes",64,268213,57,1,1
"8867","Lima",70,268257,60,31,1
"8868","Stefan Ristovski",62,268261,41,4,1
"8869","Bruno Gonzalez",74,268273,50,32,1
"8870","Manuel Trigueros",80,268282,50,75,1
"8871","Dieguinho",67,268283,55,6,1
"8872","Kelvin",74,268284,56,11,1
"8873","Gideao",71,268306,352,8,1
"8874","Emiliano Martinez",66,268375,339,3,1
"8875","Edenilson",76,268394,47,54,1
"8876","Anderson Melo",58,268586,50,1,1
"8877","Marvin Bakalorz",71,269666,64,26,1
"8878","Christoph Kramer",79,269788,44,86,1
"8879","Georgiy Zhukov",66,269806,64,15,1
"8880","Igor Berezovsky",65,270473,323,13,1
"8881","Franco Vazquez",80,270774,58,85,2
"8882","Kwang-Ryong Pak",64,271684,64,12,1
"8883","Robert Mazan",66,273419,51,1,1
"8884","Luka Maric",60,273458,46,10,1
"8885","Soares Bordignon Arghus",70,273564,47,4,1
"8886","Gergo Lovrencsics",73,274156,54,88,1
"8887","Cristian Cuevas",67,274456,48,20,1
"8888","Hector Herrera",78,274623,126,69,1
"8889","Yanick Brecher",61,274776,312,36,1
"8890","Marco Kehl-Gomez",62,274778,52,5,1
"8891","Moritz Bauer",60,274779,53,71,1
"8892","Imran Bunjaku",55,274780,47,1,1
"8893","Selim Khelifi",68,274781,55,34,1
"8894","Vincent Bikana",56,274786,64,5,1
"8895","Yvon Mvogo",72,274787,359,88,1
"8896","Silvan Widmer",75,275034,44,67,1
"8897","Moussa Konate",73,275122,44,65,2
"8898","Martin Kobylanski",63,275328,51,1,1
"8899","Samuel Stefanik",67,275457,56,17,2
"8900","Bartosz Spiaczka",62,275573,55,22,1
"8901","Mateusz Lewandowski",64,275726,68,56,1
"8902","Mateusz Mak",68,275735,57,40,1
"8903","Bartosz Szeliga",65,275739,54,31,1
"8904","Krzysztof Kaminski",63,275751,317,32,1
"8905","Andrzej Witan",59,275760,293,15,1
"8906","Michal Markowski",58,275763,52,10,1
"8907","Pawel Oleksy",64,275765,65,60,1
"8908","Jakub Wojcicki",67,275771,49,74,1
"8909","Josh Meekings",69,275936,55,141,1
"8910","Lukas Droppa",64,275992,42,20,1
"8911","Gwion Edwards",62,276119,48,4,1
"8912","Ben Davies",76,276121,45,88,1
"8913","Hugo Sousa",67,276261,54,17,1
"8914","Rhys McCabe",66,276290,39,8,1
"8915","Ronny Garbuschewski",68,276676,59,3,1
"8916","Philip Heise",70,276700,67,1,1
"8917","Adis Jahovic",70,276701,56,5,1
"8918","Ronny Philp",68,276708,60,8,1
"8919","Patrick Bauer",69,276734,58,43,1
"8920","Antonio Ruediger",76,276738,59,89,2
"8921","Florian Niederlechner",72,276760,60,1,1
"8922","Niclas Fuellkrug",70,276791,56,2,1
"8923","Rory McKeown",60,277234,56,38,1
"8924","Adam Gyurcso",69,277313,46,8,1
"8925","Ousseynou Cisse",70,277325,46,9,1
"8926","Dimitri Mohamed",62,277335,62,14,1
"8927","Yoann Touzghar",71,277341,57,22,1
"8928","Hugo Rodriguez",63,277347,46,2,1
"8929","Thomas Vincensini",60,277348,299,1,1
"8930","Gael Angoula",66,277384,71,25,1
"8931","Benjamin Boulenger",66,277390,47,9,1
